"navn","addresse","Org_nr","Sektor","godkjenning","lat","lng","postal_town","administrative_area_level_2","administrative_area_level_1","political","DVH_regioner_2019","Kommunenavn_2020"
"Nordskar Hege Thorson","Sjolivegen 2336 , 2676 HEIDAL","Org. nr. 990 247 536","Økologisk landbruksproduksjon","Gyldig fra 05.05.2020 til 30.12.2021",61.6747122,9.2074149,"Heidal","Sel","Innlandet","none","Vestre Østland DVH","SEL"
"Nordstrand Berit Susanne","Bryggjevegen 23 , 4745 BYGLAND","Org. nr. 996 170 705","Økologisk landbruksproduksjon","Gyldig fra 02.11.2020 til 30.12.2021",58.920763,7.7452525,"Bygland","Bygland","Agder","none","Vest Norge DVH","BYGLAND"
"Nordtiller Lars Ivar","Tillerbruveien 140 , 7092 TILLER","Org. nr. 969 638 991","Økologisk landbruksproduksjon","Gyldig fra 17.02.2020 til 30.12.2021",63.3567059,10.4254071,"Tiller","Trondheim","Trøndelag","none","Midt Norge DVH","TRONDHEIM"
"Nordtrade AS","Hogstvedtvn 51 A , 1435 ÅS","Org. nr. 918 323 759","Foredling, import og omsetning","Gyldig fra 12.08.2020 til 30.12.2021",59.6659984,10.7911492,0,"Ås Municipality","Viken","none","#N/A","#N/A"
"Nordvoll Ernst","Husby hovedgård , 8723 HUSBY","Org. nr. 969 119 773","Økologisk landbruksproduksjon","Gyldig fra 16.09.2020 til 30.12.2021",66.225762,12.7687885,0,0,"none","none","#N/A","#N/A"
"Norganic","Plogfabrikkv. 13 , 4353 KLEPP STASJON","Org. nr. 984 155 913","Foredling, import og omsetning","Gyldig fra 18.11.2020 til 30.12.2021",58.7821512,5.7014804,"Klepp Stasjon","Klepp","Rogaland","none","Vest Norge DVH","KLEPP"
"Norges grønne fagskole - Vea","Turistvn. 92 , 2390 MOELV","Org. nr. 870 961 642","Økologisk landbruksproduksjon","Gyldig fra 10.11.2020 til 30.12.2021",60.9525482,10.6801299,"Moelv","Ringsaker","Innlandet","none","Vestre Østland DVH","RINGSAKER"
"Norges miljø og biovitenskapelig universitet NMBU","Postboks 5003 , 1432 ÅS","Org. nr. 974 705 230","Økologisk landbruksproduksjon","Gyldig fra 06.07.2020 til 30.12.2021",59.6660615,10.7925637,0,0,"none","none","#N/A","#N/A"
"Norges NaturmedisinSentral AS","Teglverksveien 47 , 3057 SOLBERGELVA","Org. nr. 977 052 343","Foredling, import og omsetning","Gyldig fra 28.10.2020 til 30.12.2021",59.7563041,10.08804,"Solbergelva","Drammen","Viken","none","VIKEN","DRAMMEN"
"Norgeskjell","Austdalsveien 258 , 7170 ÅFJORD","Org. nr. 986 842 020","Økologisk akvakultur","Gyldig fra 12.01.2021 til 30.12.2022",63.9372164,10.2207971,"Åfjord","Åfjord","Trøndelag","none","Midt Norge DVH","ÅFJORD"
"Norgesmøllene AS avd. Buvika","Buvikvegen 624 , 7350 BUVIKA","Org. nr. 973 167 332","Foredling, import og omsetning","Gyldig fra 09.11.2020 til 30.12.2021",63.3118859,10.1621225,"Buvika","Skaun","Trøndelag","none","Midt Norge DVH","SKAUN"
"Norgesmøllene AS avd. Skien","Postboks 3014, Handelstorget , 3707 SKIEN","Org. nr. 885 719 422","Foredling, import og omsetning","Gyldig fra 23.11.2020 til 30.12.2021",59.2089131,9.6057526,0,0,"none","none","#N/A","#N/A"
"Norgesmøllene AS avd. Vaksdal","Postboks 13 , 5726 VAKSDAL","Org. nr. 885 719 422","Foredling, import og omsetning","Gyldig fra 19.01.2021 til 30.12.2021",60.476937,5.740567,0,0,"none","none","#N/A","#N/A"
"Norgro AS","Postboks 4144 , 2307 HAMAR","Org. nr. 960 117 883","Foredling, import og omsetning","Gyldig fra 19.01.2021 til 30.12.2021",60.7945331,11.0679977,0,0,"none","none","#N/A","#N/A"
"Norheim Eivind","Norheimvn 238 , 3825 LUNDE","Org. nr. 969 151 170","Økologisk landbruksproduksjon","Gyldig fra 23.11.2020 til 30.12.2021",59.3515439,9.0854108,"Lunde","Nome","Vestfold og Telemark","none","Vestre Østland DVH","NOME"
"Nørholm Ann-Margot","Eggenvegen 47 , 7608 LEVANGER","Org. nr. 920 174 892","Økologisk landbruksproduksjon","Gyldig fra 05.02.2020 til 30.12.2021",63.7105557,11.2253394,"Levanger","Levanger","Trøndelag","none","Midt Norge DVH","LEVANGER"
"Nøring Hardanger AS","Sjusetevegen 27 , 5610 ØYSTESE","Org. nr. 918 674 152","Foredling, import og omsetning","Gyldig fra 09.11.2020 til 30.12.2021",60.388531,6.1979225,"Øystese","Kvam","Vestland","none","Vest Norge DVH","KVAM"
"Norisma As","Maridalsveien 163 , 0461 OSLO","Org. nr. 997 355 911","Foredling, import og omsetning","Gyldig fra 23.11.2020 til 30.12.2021",59.9387558,10.7587772,"Oslo","Oslo","Oslo","Bydel Sagene","Oslo DVH","OSLO"
"NorPri AS","Næringsveien 27 , 4365 NÆRBØ","Org. nr. 913 755 855","Foredling, import og omsetning","Gyldig fra 20.04.2020 til 30.12.2021",58.6446045,5.6283714,"Nærbø","Hå","Rogaland","none","Vest Norge DVH","HÅ"
"Norrek Dypfrys AS","Helgeroveien 892 , 3267 LARVIK","Org. nr. 910 228 609","Foredling, import og omsetning","Gyldig fra 26.10.2020 til 30.12.2021",58.9929244,9.9061381,"Larvik","Larvik","Vestfold og Telemark","none","Vestre Østland DVH","LARVIK"
"Norrek Dypfrys AS","Hegdalringen 1 , 3261 LARVIK","Org. nr. NO9 102 286 09","Foredling, import og omsetning","Gyldig fra 24.02.2020 til 30.12.2021",59.0602588,10.0837502,"Larvik","Larvik","Vestfold og Telemark","none","Vestre Østland DVH","LARVIK"
"Nørrestogo AS","Dalsvn 211 , 2940 HEGGENES","Org. nr. 921 637 233","Foredling, import og omsetning","Gyldig fra 07.09.2020 til 30.12.2021",61.1691779,8.965239,"Heggenes","Øystre Slidr","Innlandet","none","Vestre Østland DVH","#N/A"
"Norsk Butikkdrift AS, avd 4312 Coop Mega Storo","Vitaminveien 7 - 9 , 0485 OSLO","Org. nr. 931 186 744","Foredling, import og omsetning","Gyldig fra 08.11.2020 til 30.12.2021",59.9472744,10.7744444,"Oslo","Oslo","Oslo","Nordre Aker","Oslo DVH","OSLO"
"Norsk Folkemuseum, Bygdøy Kongsgård","Postboks 720 Skøyen , 0214 OSLO","Org. nr. 970 010 815","Foredling, import og omsetning","Gyldig fra 07.12.2020 til 30.12.2021",59.9228264,10.6793482,0,0,"Oslo","none","OSLO","OSLO"
"Norsk Kombucha AS","Århusvegen 261 , 3721 SKIEN","Org. nr. 914 087 570","Foredling, import og omsetning","Gyldig fra 19.01.2021 til 30.12.2021",59.2327258,9.5709289,"Skien","Skien","Vestfold og Telemark","none","Vestre Østland DVH","SKIEN"
"Norsk Økois Skjæveland","Bringedalsvegen 183, Inngjerdet i Helvik , 5462 HERØYSUNDET","Org. nr. 984 700 989","Foredling, import og omsetning","Gyldig fra 08.11.2020 til 30.12.2021",59.915836,5.797724,"Herøysundet","Kvinnherad","Vestland","none","Vest Norge DVH","KVINNHERAD"
"Norsk Økoraps AS","Skalleåsveien 297 , 1892 DEGERNES","Org. nr. 918 962 247","Foredling, import og omsetning","Gyldig fra 11.08.2020 til 30.12.2021",59.3635863,11.4698275,"Degernes","Rakkestad","Viken","none","VIKEN","RAKKESTAD"
"Norsk Sjømat Stranda AS","Svemorka , 6200 STRANDA","Org. nr. 976 584 058","Økologisk akvakultur","Gyldig fra 29.06.2020 til 30.12.2021",62.2697815,6.8760305,0,"Stranda","Møre og Romsdal","none","Midt Norge DVH","STRANDA"
"Norsk spelt as","Duengerhøgda 569 , 2350 NES PÅ HEDMARKEN","Org. nr. 992 316 691","Foredling, import og omsetning","Gyldig fra 29.06.2020 til 30.12.2021",60.7905868,10.9186773,"Nes På Hedmark","Ringsaker","Innlandet","none","Vestre Østland DVH","RINGSAKER"
"Norsk Ullgris DA","Langnesvn 131 , 1815 ASKIM","Org. nr. 921 413 033","Foredling, import og omsetning","Gyldig fra 02.09.2020 til 30.12.2021",0.1,0.1,0,0,"none","none","#N/A","#N/A"
"Norsk Urkorn AS","Øiestadvn 249 , 1860 TRØGSTAD","Org. nr. 812 358 812","Foredling, import og omsetning","Gyldig fra 25.10.2020 til 30.12.2021",59.6221129,11.2826378,"Trøgstad","Indre Østfold","Viken","none","VIKEN","TRØGSTAD"
"Norske Spirer AS","Bunesvegen 896 , 2120 SAGSTUA","Org. nr. 874 371 742","Foredling, import og omsetning","Gyldig fra 21.12.2020 til 30.12.2021",60.4240683,11.5910064,"Sagstua","Nord-Odal","Innlandet","none","Vestre Østland DVH","NORD-ODAL"
"Norsøk","Gunnars veg 6, Tingvoll gård , 6630 TINGVOLL","Org. nr. 969 840 383","Økologisk landbruksproduksjon","Gyldig fra 18.11.2020 til 30.12.2021",62.9139733,8.1843421,"Tingvoll","Tingvoll","Møre og Romsdal","none","Midt Norge DVH","TINGVOLL"
"Nørstrud Andreas","Mælandsvegen 16 , 3690 HJARTDAL","Org. nr. 891 002 912","Økologisk landbruksproduksjon","Gyldig fra 01.11.2020 til 30.12.2021",59.6014338,8.6597084,"Hjartdal","Hjartdal","Vestfold og Telemark","none","Vestre Østland DVH","HJARTDAL"
"Nortura Bjerka","Strandgt. 14 , 8643 BJERKA","Org. nr. 988 653 470","Foredling, import og omsetning","Gyldig fra 27.08.2020 til 30.12.2021",66.1499,13.8281809,"Bjerka","Hemnes","Nordland","none","Nord Norge DVH","HEMNES"
"Nortura Egersund","Tengsareidveien 7 , 4370 EGERSUND","Org. nr. 973 155 695","Foredling, import og omsetning","Gyldig fra 02.08.2020 til 30.12.2021",58.4793088,6.0038458,"Egersund","Eigersund","Rogaland","none","Vest Norge DVH","EIGERSUND"
"Nortura Eggprodukter","Postboks 24 , 3174 REVETAL","Org. nr. 973 102 591","Foredling, import og omsetning","Gyldig fra 19.10.2020 til 30.12.2021",59.3723496,10.2632146,0,0,"none","none","#N/A","#N/A"
"Nortura Elverum","Postboks 43 , 2401 ELVERUM","Org. nr. 938 752 648","Foredling, import og omsetning","Gyldig fra 21.10.2020 til 30.12.2021",60.8752439,11.5424832,"Elverum","Elverum","Innlandet","none","Vestre Østland DVH","ELVERUM"
"Nortura Førde","Holtemyrane 6 , 6814 FØRDE","Org. nr. 973 164 058","Foredling, import og omsetning","Gyldig fra 23.09.2020 til 30.12.2021",61.4476964,5.8181264,"Førde","Sunnfjord","Vestland","none","Vest Norge DVH","FØRDE"
"Nortura Forus","Postboks 40 Forus , 4064 STAVANGER","Org. nr. 974 311 364","Foredling, import og omsetning","Gyldig fra 26.08.2020 til 30.12.2021",58.891882,5.7341575,0,0,"Rogaland","none","Vest Norge DVH","#N/A"
"Nortura Gol","Gamlevegen 20 , 3550 GOL","Org. nr. 973 138 677","Foredling, import og omsetning","Gyldig fra 11.10.2020 til 30.12.2021",60.6989783,8.9405003,"Gol","Gol","Viken","none","VIKEN","GOL"
"Nortura Hå","Næringsvegen 25 , 4365 NÆRBØ","Org. nr. 973 151 002","Foredling, import og omsetning","Gyldig fra 23.09.2020 til 30.12.2021",58.6431108,5.6287059,"Nærbø","Hå","Rogaland","none","Vest Norge DVH","HÅ"
"Nortura Hærland","Sloravn. 60 , 1878 HÆRLAND","Org. nr. 938 752 648","Foredling, import og omsetning","Gyldig fra 17.11.2020 til 30.12.2021",59.5467839,11.4224414,"Hærland","Indre Østfold","Viken","none","VIKEN","#N/A"
"Nortura Målselv","Andslimoen , 9325 BARDUFOSS","Org. nr. 973 187 430","Foredling, import og omsetning","Gyldig fra 17.11.2020 til 30.12.2021",69.0904553,18.5819677,0,0,"Troms og Finnmark fylke","none","#N/A","#N/A"
"Nortura Malvik","Postboks 5661 Sluppen , 7484 TRONDHEIM","Org. nr. 994 971 298","Foredling, import og omsetning","Gyldig fra 02.08.2020 til 30.12.2021",63.3980586,10.4030582,0,0,"none","none","#N/A","#N/A"
"Nortura Rakkestad","Industrivn. 13 , 1890 RAKKESTAD","Org. nr. 973 074 776","Foredling, import og omsetning","Gyldig fra 25.11.2020 til 30.12.2021",59.4244918,11.3377657,"Rakkestad","Rakkestad","Viken","none","VIKEN","RAKKESTAD"
"Nortura Rudshøgda","Postboks 70 , 2360 RUDSHØGDA","Org. nr. 973 123 653","Foredling, import og omsetning","Gyldig fra 04.11.2020 til 30.12.2021",60.910297,10.8057109,0,0,"none","none","#N/A","#N/A"
"Nortura SA","Postboks 5661 Sluppen , 7484 TRONDHEIM","Org. nr. 973 174 746","Foredling, import og omsetning","Gyldig fra 17.11.2020 til 30.12.2021",63.3980586,10.4030582,0,0,"none","none","#N/A","#N/A"
"Nortura SA avd. Heimdal","Heggstadmoen 18 , 7080 HEIMDAL","Org. nr. 938 752 648","Foredling, import og omsetning","Gyldig fra 21.10.2020 til 30.12.2021",63.3286565,10.3460349,"Heimdal","Trondheim","Trøndelag","none","Midt Norge DVH","TRONDHEIM"
"Nortura SA Harstad","Stangnesterminalen 5 , 9480 HARSTAD","Org. nr. 938 752 648","Foredling, import og omsetning","Gyldig fra 03.02.2020 til 30.12.2021",68.7796096,16.5855197,"Harstad","Harstad","Troms og Finnmark","none","Nord Norge DVH","HARSTAD"
"Nortura Sandeid","Postboks 10 , 5589 SANDEID","Org. nr. 974 132 168","Foredling, import og omsetning","Gyldig fra 02.06.2020 til 30.12.2021",59.5450845,5.8575076,0,0,"none","none","#N/A","#N/A"
"Nortura Sarpsborg","Ludvig Enges vei 15 , 1722 SARPSBORG","Org. nr. 973 072 382","Foredling, import og omsetning","Gyldig fra 25.11.2020 til 30.12.2021",59.2729002,11.0847262,"Sarpsborg","Sarpsborg","Viken","none","VIKEN","SARPSBORG"
"Nortura Steinkjer","Havnegt. 28 , 7725 STEINKJER","Org. nr. 973 174 819","Foredling, import og omsetning","Gyldig fra 27.10.2020 til 30.12.2021",64.0199536,11.492126,"Steinkjer","Steinkjer","Trøndelag","none","Midt Norge DVH","STEINKJER"
"Nortura Tønsberg","Åskollen 3 , 3103 TØNSBERG","Org. nr. 974 303 639","Foredling, import og omsetning","Gyldig fra 03.03.2020 til 30.12.2021",59.2959712,10.3492918,"Sem","Tønsberg","Vestfold og Telemark","none","Vestre Østland DVH","TØNSBERG"
"Norum Anne Finstad og Bernt Olav Norum","Finnestadveien 560 , 1880 EIDSBERG","Org. nr. 923 427 317","Økologisk landbruksproduksjon","Gyldig fra 02.07.2020 til 30.12.2021",59.5116612,11.2936094,"Eidsberg","Indre Østfold","Viken","none","VIKEN","EIDSBERG"
"Norwegian Wines AS","Bergås Terrasse 67 , 3057 SOLBERGELVA","Org. nr. 922 421 773","Økologisk landbruksproduksjon","Gyldig fra 18.03.2020 til 30.12.2021",59.7692823,10.0700314,"Solbergelva","Drammen","Viken","none","VIKEN","DRAMMEN"
"Norwell AS","Fugleskjærgt. 8 , 6900 FLORØ","Org. nr. 976 764 633","Foredling, import og omsetning","Gyldig fra 24.03.2020 til 30.12.2021",61.6009542,5.0268705,"Florø","Kinn","Vestland","none","Vest Norge DVH","#N/A"
"Notim AS","Postboks 176 , 1471 LØRENSKOG","Org. nr. 981 231 767","Foredling, import og omsetning","Gyldig fra 08.11.2020 til 30.12.2021",59.923799,10.9541825,0,0,"none","none","#N/A","#N/A"
"Novelty Food AS","Brynsveien 13 , 0667 OSLO","Org. nr. 919 945 788","Foredling, import og omsetning","Gyldig fra 08.11.2020 til 30.12.2021",59.9107476,10.8105511,"Oslo","Oslo","Oslo","Gamle Oslo","Oslo DVH","OSLO"
"Nupen Villsau","Hallebygda 297 , 6084 LARSNES","Org. nr. 892 360 332","Økologisk landbruksproduksjon","Gyldig fra 07.12.2020 til 30.12.2021",62.2253596,5.5342534,"Larsnes","Sande","Møre og Romsdal","none","Midt Norge DVH","SANDE"
"Nutrimar AS","Industriveien 23 , 7266 KVERVA","Org. nr. 990 080 372","Økologisk akvakultur","Gyldig fra 23.06.2020 til 30.12.2021",63.7090584,8.5636972,"Kverva","Frøya","Trøndelag","none","Midt Norge DVH","FRØYA"
"Nutritionlab AS","Solgaard Skog 3 , 1599 MOSS","Org. nr. 818 080 212","Foredling, import og omsetning","Gyldig fra 25.11.2020 til 30.12.2021",59.4399518,10.6970428,"Moss","Moss","Viken","none","VIKEN","MOSS"
"Nybo Kai Olaf","Synfjellvegen 105 , 2880 NORD-TORPA","Org. nr. 912 998 592","Økologisk landbruksproduksjon","Gyldig fra 05.07.2020 til 30.12.2021",61.0127981,9.9187853,0,0,"none","none","#N/A","#N/A"
"Nydal Eli Berit","Holmedalsvegen 30 , 6982 HOLMEDAL","Org. nr. 981 344 065","Økologisk landbruksproduksjon","Gyldig fra 05.07.2020 til 30.12.2021",61.3558268,5.1805281,0,0,"none","none","#N/A","#N/A"
"Nydal Gård V/Bernt Hansen","Kong Spangs vei 33 , 4521 SPANGEREID","Org. nr. 914 960 150","Økologisk landbruksproduksjon","Gyldig fra 04.11.2020 til 30.12.2021",58.0456465,7.1365894,"Spangereid","Lindesnes","Agder","none","Vest Norge DVH","LINDESNES"
"Nye Kinsarvik Fruktutsalg AS","Olav Kyrresgt. 47 , 5015 BERGEN","Org. nr. 971 718 927","Foredling, import og omsetning","Gyldig fra 18.10.2020 til 30.12.2021",60.389918,5.3222412,"Bergen","Bergen","Vestland","Bergenhus","Vest Norge DVH","BERGEN"
"Nygaard Sivert","Småplassen 21 , 7290 STØREN","Org. nr. 985 483 078","Økologisk landbruksproduksjon","Gyldig fra 04.02.2020 til 30.12.2021",63.0391016,10.285013,0,0,"none","none","#N/A","#N/A"
"Nyhus Villsau Nicola Nyhus","Heradsvn. 624 , 4580 LYNGDAL","Org. nr. 923 886 028","Foredling, import og omsetning","Gyldig fra 29.09.2020 til 30.12.2021",58.1378983,7.0704361,0,0,"none","none","#N/A","#N/A"
"Nylend Stian","Vestre Narjordet, 213 , 2550 OS I ØSTERDALEN","Org. nr. 985 278 539","Økologisk landbruksproduksjon","Gyldig fra 06.07.2020 til 30.12.2021",62.4369116,11.4022684,"Os i Østerdalen","Os","Innlandet","none","Vestre Østland DVH","#N/A"
"Nyrønning Jørgen Hanshaugen","Haugavegen 154 , 7383 HALTDALEN","Org. nr. 920 935 842","Økologisk landbruksproduksjon","Gyldig fra 29.10.2020 til 30.12.2021",62.9194415,11.1833267,"Haltdalen","Holtålen","Trøndelag","none","Midt Norge DVH","HOLTÅLEN"
"Nyrud Charles","Hjelmsethveien 24 , 8920 SØMNA","Org. nr. 869 264 342","Økologisk landbruksproduksjon","Gyldig fra 01.06.2020 til 30.12.2021",65.2374954,12.1647136,"Sømna","Sømna","Nordland","none","Nord Norge DVH","SØMNA"
"Nyttehagen på Solbrekke","Myrvollveien 6 , 1622 GRESSVIK","Org. nr. 915 687 091","Økologisk landbruksproduksjon","Gyldig fra 06.12.2020 til 30.12.2021",59.2172246,10.8420644,"Gressvik","Fredrikstad","Viken","none","VIKEN","FREDRIKSTAD"
"O’Hare Sean og May Iren","Ravnåsvegen 108 , 4121 TAU","Org. nr. 917 804 729","Økologisk landbruksproduksjon","Gyldig fra 03.12.2020 til 30.12.2021",59.1049237,5.9619922,"Tau","Strand","Rogaland","none","Vest Norge DVH","STRAND"
"Ocean Forest AS c/o Lerøy Seafood Group","PB 7600 , 5020 BERGEN","Org. nr. 912 871 053","Økologisk akvakultur","Gyldig fra 03.12.2020 til 30.12.2021",60.3912628,5.3220544,0,0,"none","none","#N/A","#N/A"
"Odd Langdalen Frukt og Grønt AS avd Trondheim","Østre Rosten 84B , 7075 TILLER","Org. nr. 959 216 908","Foredling, import og omsetning","Gyldig fra 23.04.2020 til 30.12.2021",63.3483079,10.3742634,"Tiller","Trondheim","Trøndelag","none","Midt Norge DVH","TRONDHEIM"
"Odd Langdalen Frukt og Grønt Engros AS","Regnbueveien 10 , 1405 LANGHUS","Org. nr. 959 216 908","Foredling, import og omsetning","Gyldig fra 23.11.2020 til 30.12.2021",59.7679723,10.8430442,"Langhus","Nordre Follo","Viken","none","VIKEN","#N/A"
"Oddekalv Geir Magne","Oddekalv , 6924 HARDBAKKE","Org. nr. 973 055 127","Økologisk landbruksproduksjon","Gyldig fra 01.12.2020 til 30.12.2021",61.0740153,4.8403701,0,0,"none","none","#N/A","#N/A"
"Odden Olav","Strømmen 36 , 2560 ALVDAL","Org. nr. 969 247 542","Økologisk landbruksproduksjon","Gyldig fra 27.10.2020 til 30.12.2021",62.1834455,10.6153652,"Alvdal","Alvdal","Innlandet","none","Vestre Østland DVH","ALVDAL"
"Odden-Mæleng Jonas","Nord-Østerdalveien 7250 , 2500 TYNSET","Org. nr. 916 578 792","Økologisk landbruksproduksjon","Gyldig fra 02.03.2020 til 30.12.2021",62.2787581,10.720136,"Tynset","Tynset","Innlandet","none","Vestre Østland DVH","TYNSET"
"Oddveig Hosar Eivind Øvrelid","Skjåk Solside 262 , 2690 SKJÅK","Org. nr. 989 127 322","Økologisk landbruksproduksjon","Gyldig fra 09.02.2020 til 30.12.2021",61.8884284,8.3687068,"Skjåk","Skjåk","Innlandet","none","Vestre Østland DVH","SKJÅK"
"Ødegård Johnny","Ødegårdveien 136 , 1708 SARPSBORG","Org. nr. 983 154 689","Økologisk landbruksproduksjon","Gyldig fra 30.11.2020 til 30.12.2021",59.3553252,11.0916998,"Sarpsborg","Sarpsborg","Viken","none","VIKEN","SARPSBORG"
"Øderud Trygve","Øderud gård, Tonsveien 340 , 3370 VIKERSUND","Org. nr. 969 464 772","Foredling, import og omsetning","Gyldig fra 08.09.2020 til 30.12.2021",60.0363,9.9959399,0,0,"Viken","none","#N/A","#N/A"
"Øglend Geir Ingve","Noredalen 483 , 4308 SANDNES","Org. nr. 990 708 924","Økologisk landbruksproduksjon","Gyldig fra 23.11.2020 til 30.12.2021",58.8541021,5.9094563,"Sandnes","Sandnes","Rogaland","none","Vest Norge DVH","SANDNES"
"Øien Janne","Klokkhaugveien 72 , 7530 MERÅKER","Org. nr. 981 908 864","Økologisk landbruksproduksjon","Gyldig fra 10.11.2020 til 30.12.2021",63.4382725,11.7076688,"Meråker","Meråker","Trøndelag","none","Midt Norge DVH","MERÅKER"
"Økern Engros as","Håndverksvegen31 , 1405 LANGHUS","Org. nr. 965 714 138","Foredling, import og omsetning","Gyldig fra 20.10.2020 til 30.12.2021",59.7671941,10.8334213,"Langhus","Nordre Follo","Viken","none","VIKEN","#N/A"
"Øko Hjertet Butikkdrift AS","Huitfeldts gate 12 , 0253 OSLO","Org. nr. 912 673 111","Foredling, import og omsetning","Gyldig fra 12.10.2020 til 30.12.2021",59.9141946,10.725162,"Oslo","Oslo","Oslo","Frogner","Oslo DVH","OSLO"
"Øko-kompaniet AS","Gjellebekkstubben 10 B , 3420 LIERSKOGEN","Org. nr. 980 301 478","Foredling, import og omsetning","Gyldig fra 15.09.2020 til 30.12.2021",59.8053111,10.294812,"Lierskogen","Lier","Viken","none","VIKEN","LIER"
"Øko-logiske produkter as","Hellemyrlia 25C , 4628 KRISTIANSAND S","Org. nr. 915 390 196","Foredling, import og omsetning","Gyldig fra 19.11.2020 til 30.12.2021",58.143595,7.9366199,"Kristiansand","Kristiansand","Agder","none","Vest Norge DVH","KRISTIANSAND"
"Økobakeriet AS","Gjesdalsgate 16 , 4014 STAVANGER","Org. nr. 920 061 826","Foredling, import og omsetning","Gyldig fra 19.11.2020 til 30.12.2021",58.9691583,5.7574359,0,"Stavanger","Rogaland","none","Vest Norge DVH","STAVANGER"
"Økodrift Homlagarden AS","Aksnesvegen 70 , 5600 NORHEIMSUND","Org. nr. 991 801 421","Foredling, import og omsetning","Gyldig fra 11.03.2020 til 30.12.2021",60.336726,6.2128048,"Norheimsund","Kvam","Vestland","none","Vest Norge DVH","KVAM"
"Økofrukt AS","Kikjavegen 8 , 3683 NOTODDEN","Org. nr. 913 846 656","Foredling, import og omsetning","Gyldig fra 09.12.2020 til 30.12.2021",59.5155632,9.3936658,0,"Notodden","Vestfold og Telemark","none","Vestre Østland DVH","NOTODDEN"
"Økofrukt Hesthag v /Jon Hesthag","Nesoddvegen 93 , 3810 GVARV","Org. nr. 921 199 325","Økologisk landbruksproduksjon","Gyldig fra 22.11.2020 til 30.12.2021",59.377772,9.2118876,"Gvarv","Midt-telemark","Vestfold og Telemark","none","Vestre Østland DVH","#N/A"
"Økogrossisten AS avd. Bergen","Storaneset 12 , 5260 INDRE ARNA","Org. nr. 984 885 474","Foredling, import og omsetning","Gyldig fra 10.12.2020 til 30.12.2021",60.4309847,5.4641469,"Indre Arna","Bergen","Vestland","Arna","Vest Norge DVH","BERGEN"
"Økogrossisten AS avd. Oslo","Thunesvei 2 , 0274 OSLO","Org. nr. 824 283 702","Foredling, import og omsetning","Gyldig fra 04.11.2020 til 30.12.2021",59.9221985,10.6887807,"Oslo","Oslo","Oslo","Ullern","Oslo DVH","OSLO"
"Økokrambua Haugesund AS","Postboks 238 , 4296 ÅKREHAMN","Org. nr. 915 313 175","Foredling, import og omsetning","Gyldig fra 08.06.2020 til 30.12.2021",59.2610449,5.1803214,"Åkrehamn","Karmøy","Rogaland","none","Vest Norge DVH","KARMØY"
"Økolog Vatne","Orkdalsveien 2612 , 7393 RENNEBU","Org. nr. 994 173 219","Økologisk landbruksproduksjon","Gyldig fra 11.05.2020 til 30.12.2021",62.9625951,9.7823696,"Rennebu","Rennebu","Trøndelag","none","Midt Norge DVH","RENNEBU"
"Økologisk Drift AS","Postboks 221 , 3071 SANDE I VESTFOLD","Org. nr. 986 145 826","Økologisk landbruksproduksjon","Gyldig fra 24.08.2020 til 30.12.2021",59.5867918,10.2080222,0,0,"Vestfold og Telemark","none","Vestre Østland DVH","#N/A"
"Økologisk Frilandsgris AS","Hukusjøvegen 1008 , 2260 KIRKENÆR","Org. nr. 921 190 298","Foredling, import og omsetning","Gyldig fra 21.09.2020 til 30.12.2021",60.4891608,11.9834489,"Kirkenær","Grue","Innlandet","none","Vestre Østland DVH","GRUE"
"Økologisk Kjøttproduksjon v/ Tor Morten Jakobsen","Valvågveien 232 , 9392 STONGLANDSEIDET","Org. nr. 869 720 712","Økologisk landbruksproduksjon","Gyldig fra 19.10.2020 til 30.12.2021",69.0667572,17.183279,"Stonglandseidet","Senja","Troms og Finnmark","none","Nord Norge DVH","#N/A"
"Økologisk Spesialkorn Skandinavia AS","Sigdalsveien 1300 , 3350 PRESTFOSS","Org. nr. 991 831 843","Foredling, import og omsetning","Gyldig fra 07.12.2020 til 30.12.2021",59.9864481,9.749789,"Prestfoss","Sigdal","Viken","none","VIKEN","SIGDAL"
"Økologiske Dagligvarer AS","Ullandhaugvn. 150 , 4021 STAVANGER","Org. nr. 824 553 912","Foredling, import og omsetning","Gyldig fra 26.10.2020 til 30.12.2021",58.942155,5.700326,"Stavanger","Stavanger","Rogaland","none","Vest Norge DVH","STAVANGER"
"Økologiske Dagligvarer II AS","Ullandhaugvn. 150 , 4021 STAVANGER","Org. nr. 824 553 912","Foredling, import og omsetning","Gyldig fra 09.11.2020 til 30.12.2021",58.942155,5.700326,"Stavanger","Stavanger","Rogaland","none","Vest Norge DVH","STAVANGER"
"Økosjokolade AS","Tollbugata 4 , 3044 DRAMMEN","Org. nr. 998 585 856","Foredling, import og omsetning","Gyldig fra 16.09.2020 til 30.12.2021",59.7389996,10.2031008,"Drammen","Drammen","Viken","none","VIKEN","DRAMMEN"
"Øksnevad v.g. skole","Jærv. 990, Øksnevad , 4351 KLEPPE","Org. nr. 974 624 451","Økologisk landbruksproduksjon","Gyldig fra 16.09.2020 til 30.12.2021",58.8007815,5.6717184,"Kleppe","Klepp","Rogaland","none","Vest Norge DVH","KLEPP"
